edge_id,src_node,dst_node,num_lanes,length_m,speed_limit_mps
0,309330024,253297204,5,320.8,29.0576
1,4353687911,4353687912,1,9.9,11.176
2,4353687911,4353689485,2,408.6,13.4112
3,4353687912,4353687911,1,9.9,11.176
4,4353687912,65314953,2,304.1,13.4112
5,386924997,4906347242,2,34.4,13.4112
6,386924997,386925477,2,88.7,13.4112
7,386924997,1700584688,1,437.9,22.352
8,1760559652,665690523,3,376.9,29.0576
9,258998915,65670297,1,621.3,22.352
10,258998915,258999024,3,681.6,29.0576
11,258999024,65399706,2,506.9,22.352
12,258999024,1760559652,3,565.7,29.0576
13,258999067,1080024953,1,44.3,13.4112
14,258999067,313093778,1,12.9,13.4112
15,258999067,1760559768,3,26.6,13.4112
16,386925477,65402815,2,121.7,13.4112
17,386925477,386924997,2,88.7,13.4112
18,386925477,1700584707,1,476.0,22.352
19,275776613,370473665,1,47.5,13.4112
20,275776613,275782462,2,42.4,11.176
21,275776613,53117382,2,131.1,11.176
22,4447012098,4382597056,3,17.4,15.6464
23,4447012098,3110365113,3,411.9,15.6464
24,275776856,370473679,1,49.2,13.4112
25,275776856,2820169753,2,169.4,11.176
26,275776856,53090185,2,60.0,11.176
27,4180674087,65424257,2,38.2,17.8816
28,4180674087,65424250,2,527.2,17.8816
29,4887414370,282813359,3,394.8,15.6464
30,4887414373,4887414381,1,72.1,20.1168
31,4887414373,282813291,4,39.8,15.6464
32,4887414381,665538270,4,608.0,20.1168
33,4353689485,3921509240,1,9.7,11.176
34,4353689485,4353692273,2,188.7,13.4112
35,5896144842,53034922,3,7.2,11.176
36,5896144842,52978700,2,488.4,8.9408
37,5896144843,5896144842,2,20.2,8.9408
38,5896144843,5321280796,2,103.8,8.9408
39,5896144843,53034926,4,147.3,11.176
40,275777736,56063320,3,13.1,11.176
41,275777736,95323746,3,137.8,13.4112
42,275777737,275777736,3,11.5,13.4112
43,275777737,240469594,3,431.2,11.176
44,905972023,905968140,3,41.5,8.9408
45,905972023,65497888,1,893.8,8.9408
46,309332588,26029630,3,16.9,17.8816
47,309332588,287231485,3,89.0,11.176
48,4180675195,65452480,1,186.1,11.176
49,4180675195,4180674087,1,71.4,13.4112
50,4180675195,65424257,1,50.7,11.176
51,2701134475,2701101990,1,366.7,8.9408
52,2701134475,2701101990,1,157.2,8.9408
53,2701134475,65506180,1,146.3,8.9408
54,259001133,259001278,1,19.6,22.352
55,259001133,248212008,2,821.0,22.352
56,259001278,1101343695,3,12.0,13.4112
57,259001354,311730001,2,495.4,22.352
58,259001354,309052216,3,907.7,29.0576
59,655363147,65528532,1,97.5,8.9408
60,655363148,252005218,1,535.7,8.9408
61,655363148,1119583442,1,612.4,8.9408
62,655363148,65624502,1,261.0,8.9408
63,259001466,248212014,1,1027.5,22.352
64,259001466,259001354,3,183.6,29.0576
65,259001484,257806071,4,654.6,29.0576
66,1806699751,53113786,1,13.9,8.9408
67,1806699751,441223323,3,486.0,17.8816
68,1806699751,53062505,1,397.1,8.9408
69,1806699759,1576445790,1,15.6,13.4112
70,1806699759,53080413,1,28.0,13.4112
71,1806699759,1806699751,3,562.8,17.8816
72,1806699762,1806699759,3,47.2,17.8816
73,1806699762,53080413,1,53.9,13.4112
74,1806699765,53036271,1,16.7,8.9408
75,1806699765,1806699762,3,550.5,17.8816
76,1806699766,5896300284,3,240.9,13.4112
77,1806699766,846478195,3,56.0,13.4112
78,461376765,293845792,2,397.2,22.352
79,575671703,401388754,3,10.6,13.4112
80,575671703,575671713,2,782.3,11.176
81,575671713,53028454,1,11.7,8.9408
82,575671713,575671795,3,1081.8,11.176
83,575671713,53034906,1,1241.3,8.9408
84,575671727,53033706,1,13.2,11.176
85,575671727,52980226,2,166.4,11.176
86,575671727,4588826512,3,174.1,11.176
87,575671769,53028424,1,17.3,8.9408
88,575671769,5285295106,1,65.0,8.9408
89,575671769,718372425,3,264.3,11.176
90,575671795,53028438,1,11.6,8.9408
91,575671795,575671796,3,58.5,11.176
92,575671795,2459972364,1,64.3,8.9408
93,575671796,354102005,3,636.0,11.176
94,4162850297,1708658985,1,323.0,8.9408
95,4162850297,65464229,2,129.8,8.9408
96,575671816,354102005,1,11.1,8.9408
97,575671816,53028428,3,38.6,11.176
98,275779238,53090184,3,57.8,11.176
99,275779238,2820169753,1,435.4,11.176
100,1202720464,65439799,1,586.4,8.9408
101,1202720464,689945760,2,170.7,8.9408
102,905973480,905968140,1,17.4,8.9408
103,905973480,905941165,3,262.6,11.176
104,5484056508,5484056509,2,21.8,8.9408
105,5484056508,53089922,3,503.9,20.1168
106,5484056509,1705709180,3,10.9,20.1168
107,5484056509,53020742,2,199.6,8.9408
108,256905264,449081366,4,52.4,15.6464
109,275779890,275779238,3,39.0,11.176
110,275779890,53090184,3,22.7,11.176
111,1374687567,65460270,2,21.7,8.9408
112,1374687567,2497999641,1,32.3,20.1168
113,1374687571,65460269,2,35.9,8.9408
114,4704965058,1103393558,2,41.8,15.6464
115,4704965058,2640973131,1,63.3,11.176
116,4353692273,4353692274,1,10.1,11.176
117,4353692273,436978770,2,174.3,13.4112
118,4353692274,4353692273,1,10.1,11.176
119,4353692274,3921509240,2,188.9,13.4112
120,1968181924,53126442,2,352.8,11.176
121,1968181924,53117335,2,466.4,11.176
122,1968181924,53099580,1,626.9,11.176
123,3958379212,3958379213,1,10.1,8.9408
124,3958379212,53087004,1,2635.4,8.9408
125,3958379213,1683572015,1,62.1,8.9408
126,3958379213,1683571984,1,43.3,22.352
127,3958379213,3958379212,1,10.1,8.9408
128,275780457,275782462,3,599.6,11.176
129,275780457,275779890,3,23.5,11.176
130,3369079743,258972910,5,16.3,17.8816
131,3369079743,610194249,3,190.9,15.6464
132,461378553,461378567,2,207.3,22.352
133,461378553,293847696,1,79.4,8.9408
134,461378567,461376765,1,289.2,22.352
135,461378567,182405023,1,325.0,22.352
136,432018469,65425032,1,16.2,13.4112
137,432018469,206351337,3,44.9,15.6464
138,685773938,685765520,1,239.4,8.9408
139,685773938,685775412,3,88.8,29.0576
140,448795781,65426734,2,95.3,13.4112
141,448795781,3142640230,1,356.0,13.4112
142,448795781,65550685,1,923.2,11.176
143,461378996,461378553,3,35.1,8.9408
144,1853887940,91069540,1,198.3,8.9408
145,1313871347,53087366,3,164.4,13.4112
146,1313871431,1313871347,1,55.6,11.176
147,1313871431,53087371,1,63.6,11.176
148,1313871431,53073084,1,687.5,11.176
149,5835331655,65413979,2,842.7,22.352
150,5835331659,65493823,3,27.1,22.352
151,5835331659,5835331655,1,47.1,11.176
152,5835331660,1081488445,3,99.0,13.4112
153,120592887,65411367,1,255.1,22.352
154,120592887,65397432,1,200.9,22.352
155,685775412,241855089,2,292.7,22.352
156,685775412,241855401,4,790.3,20.1168
157,120592954,1392020693,1,175.4,22.352
158,4592769749,52981622,1,890.4,8.9408
159,275782462,53090185,2,22.9,11.176
160,275782462,275776613,2,42.4,11.176
161,275782462,370473665,3,55.6,11.176
162,275782481,53117382,2,346.8,11.176
163,275782481,275782495,3,29.6,11.176
164,275782491,53090190,1,17.1,11.176
165,275782491,275777737,3,172.4,11.176
166,275782491,240469532,1,550.0,11.176
167,275782495,275782491,3,257.2,11.176
168,309337101,189722632,2,18.1,15.6464
169,309337101,2011445961,2,48.2,15.6464
170,309337101,2011445962,3,51.0,17.8816
171,1067457597,206696652,3,2211.9,29.0576
